Purchase Order,Vendor,Receipt ID,Vendor Invoice ID,Item,Unit,SKU,Barcode,Vendor Item ID,Date,Cost/Unit,Total Quantity,Total Cost,Shipping&Handling,Taxes,Misc Costs,Total Costs,Correction ID,Delta,Remarks
901,Lakehouse Foods,796,1028,"Crackers, Spelt & Sesame - Lakehouse Foods",KG,1-0000288,1E+11,,01/02/19,30,3,90,,,,,,,
901,Lakehouse Foods,796,1028,"Crackers, Rye & Caraway - Lakehouse Foods",KG,1-0000287,1E+11,,01/02/19,30,3,90,,,,,,,
901,Lakehouse Foods,796,1028,"Crackers, Vegan - Lakehouse Foods",KG,1E+11,1E+11,,01/02/19,30,3,90,,,,,,,
902,ULINE,,,,,,,,01/02/19,,264,529.2,0,26.46,0,26.46,,,
902,ULINE,797,5206784,,,,,,01/02/19,,264,529.2,,,,,,,
902,ULINE,797,5206784,16 oz Straight-Sided Glass Jar,,1-0000431,1E+11,S-17984M,01/02/19,2.15,144,309.6,,,,,,,
902,ULINE,797,5206784,32 oz Straight-Sided Glass Jar,,1-0000424,1E+11,S-19316M,01/02/19,2.7,48,129.6,,,,,,,
902,ULINE,797,5206784,6 oz Straight-Sided Glass Jar,,1-0000421,1E+11,S-15847M,01/02/19,1.25,72,90,,,,,,,
903,Dean's Milkman,,,,,,,,01/03/19,,66,206.06,0,0,0,0,,,
903,Dean's Milkman,813,Tam-10839,,,,,,01/15/19,,66,209.5,,,,,,,
903,Dean's Milkman,813,Tam-10839,"Homo Milk, Organic - Avalon",Bottle,1-0000147,1E+11,205,01/15/19,3.19,20,63.8,,,,,,,
903,Dean's Milkman,813,Tam-10839,"3.25% Whole Milk (Standard), Organic - Avalon",Bottle,1-0000150,1E+11,204,01/15/19,3.19,8,25.52,,,,,,,
903,Dean's Milkman,813,Tam-10839,"2% Milk, Organic - Avalon",Bottle,1-0000148,1E+11,202,01/15/19,3.04,10,30.4,,,,,,,
903,Dean's Milkman,813,Tam-10839,"1% Milk, Organic - Avalon",Bottle,1-0000145,1E+11,201,01/15/19,3.05,10,30.5,,,,,,,
903,Dean's Milkman,813,Tam-10839,"Skim Milk, Organic - Avalon",Bottle,1-0000151,1E+11,206,01/15/19,3.03,2,6.06,,,,,,,
903,Dean's Milkman,813,Tam-10839,"10% Cereal Cream, 1 L - Avalon",Unit,1-0001061,1E+11,,01/15/19,4.01,2,8.02,,,,,,,
903,Dean's Milkman,813,Tam-10839,"10% Cereal Cream, 500 ml - Avalon",Bottle,1-0000146,1E+11,207,01/15/19,3.08,6,18.48,,,,,,,
903,Dean's Milkman,813,Tam-10839,"36% Whipping Cream 500 ml, Organic - Avalon",Bottle,1-0000152,1E+11,209,01/15/19,4.07,4,16.28,,,,,,,
903,Dean's Milkman,813,Tam-10839,"Chocolate Milk 500 ml, Organic - Avalon",Bottle,1-0000727,1E+11,211,01/15/19,2.61,4,10.44,,,,,,,
904,Left Coast Naturals,,,,,,,,01/03/19,,15,1620.09,0,36.17,0,36.17,,,
904,Left Coast Naturals,816,10167229,,,,,,01/15/19,,10,988.29,,,,,,,
904,Left Coast Naturals,816,10167229,"Cashews, Roasted Salted Organic",Bag,1-0000259,1E+11,6009,01/15/19,362.75,1,362.75,,,,,,,
904,Left Coast Naturals,816,10167229,"Lentils, French Green Organic",Bag,1-0000203,1E+11,2020,01/15/19,67,1,67,,,,,,,
904,Left Coast Naturals,816,10167229,"Jasmine Rice, Organic",Bag,1-0000209,1E+11,5053,01/15/19,68.5,1,68.5,,,,,,,
904,Left Coast Naturals,816,10167229,"Rice, Short Grain Brown Organic",Bag,1-0000221,1E+11,5009,01/15/19,58.25,1,58.25,,,,,,,
904,Left Coast Naturals,816,10167229,"Long Grain Brown Rice, Organic",Bag,1-0000210,1E+11,5010,01/15/19,63.5,1,63.5,,,,,,,
904,Left Coast Naturals,816,10167229,"Oats, Rolled Regular Organic",Bag,1-0000220,1E+11,7009,01/15/19,31.5,1,31.5,,,,,,,
904,Left Coast Naturals,816,10167229,"Oats, Quick Organic",Bag,1-0000498,1E+11,7008,01/15/19,31.5,1,31.5,,,,,,,
904,Left Coast Naturals,816,10167229,"Unbleached White Flour, Organic",Bag,1-0000190,1E+11,7510,01/15/19,31.24,1,31.24,,,,,,,
904,Left Coast Naturals,816,10167229,"Mango, Dried Organic",Bag,1-0000251,1E+11,4006,01/15/19,52.65,1,52.65,,,,,,,
904,Left Coast Naturals,816,10167229,"Prunes, Dried Pitted Organic",Bag,1-0000253,1E+11,4015,01/15/19,221.4,1,221.4,,,,,,,
905,East Van Roasters,,,,,,,,01/03/19,,50,708,0,0,0,0,,,
906,Rehoboth Farm,,,,,,,,01/03/19,,2,150,0,0,0,0,,,
906,Rehoboth Farm,800,1363,,,,,,01/11/19,,2,150,,,,,,,
906,Rehoboth Farm,800,1363,"Large Eggs, Single - Rehoboth Farm",Case,1-0000700,1E+11,,01/11/19,75,2,150,,,,,,,
907,Namasthé Tea Co.,,,,,,,,01/03/19,,5,473.8,0,0,0,0,,,
907,Namasthé Tea Co.,828,2772,,,,,,01/15/19,,5,265.3,,,,,,,
907,Namasthé Tea Co.,828,2772,Earl Grey Tea - Namasthé Tea Co.,KG,1-0000234,1E+11,,01/15/19,80,2,160,,,,,,,
907,Namasthé Tea Co.,828,2772,Mountain Mint Tea - Namasthé Tea Co.,KG,1-0000241,1E+11,,01/15/19,18.6,2,37.2,,,,,,,
907,Namasthé Tea Co.,828,2772,Cold&Flu - Namasthé Tea Co.,KG,1-0000745,1E+11,,01/15/19,68.1,1,68.1,,,,,,,
908,Horizon Distributors,,,,,,,,01/03/19,,8,614.92,0,9.63,0,9.63,,,
908,Horizon Distributors,834,670818,,,,,,01/22/19,,6,590.28,,,,,,,
908,Horizon Distributors,834,670818,"Tofu, Pressed Organic - Sunrise",Container,1-0000162,1E+11,40306,01/22/19,40.64,1,40.64,,,,,,,
908,Horizon Distributors,834,670818,"Cashews, Curry Spice Organic - Maisie Jane's",Bag,1-0001147,1E+11,41234,01/22/19,214.07,1,214.07,,,,,,,
908,Horizon Distributors,834,670818,"Cheese, Cheddar, Old Organic - L'Ancêtre",KG,1-0000575,1E+11,50058,01/22/19,53.07,1,53.07,,,,,,,
908,Horizon Distributors,834,670818,"Cheese, Cheddar, Medium Organic - L'Ancêtre",Bag,1-0000138,1E+11,50057,01/22/19,63.2,1,63.2,,,,,,,
908,Horizon Distributors,834,670818,"Vanilla Extract, Organic",KG,1-0001146,1E+11,2229,01/22/19,159.72,1,159.72,,,,,,,
908,Horizon Distributors,834,670818,"Jam, Raspberry Organic - Crofters",Container,1-0000394,1E+11,42620,01/22/19,59.58,1,59.58,,,,,,,
909,ULINE,,,,,,,,01/04/19,,312,507.6,0,25.38,0,25.38,,,
909,ULINE,1164,5132925,,,,,,04/16/19,,312,442.8,,,,,,,
909,ULINE,1164,5132925,1 oz Straight-Sided Glass Jar,,1-0000418,1E+11,S-17073M,04/16/19,1.15,48,55.2,,,,,,,
909,ULINE,1164,5132925,2 oz Straight-Sided Glass Jar,,1-0000419,1E+11,S-15846M,04/16/19,0.625,48,30,,,,,,,
909,ULINE,1164,5132925,8 oz Straight-Sided Glass Jar,,1-0000430,1E+11,S-17983M,04/16/19,0.875,48,42,,,,,,,
909,ULINE,1164,5132925,16 oz Straight-Sided Glass Jar,,1-0000431,1E+11,S-17984M,04/16/19,2.15,48,103.2,,,,,,,
909,ULINE,1164,5132925,32 oz Straight-Sided Glass Jar,,1-0000424,1E+11,S-19316M,04/16/19,2.7,48,129.6,,,,,,,
909,ULINE,1164,5132925,4 oz Straight-Sided Glass Jar,,1-0000420,1E+11,S-17982M,04/16/19,1.15,72,82.8,,,,,,,
910,Foothills Creamery Ltd.,,,,,,,,01/04/19,,1,276.05,0,0,0,0,,,
910,Foothills Creamery Ltd.,837,1376295,,,,,,01/22/19,,1,288.16,,,,,,,
910,Foothills Creamery Ltd.,837,1376295,"Butter, Salted - Foothills Creamery",Container,1-0000137,1E+11,,01/22/19,288.16,1,288.16,,,,,,,
911,Zimt Chocolates,,,,,,,,01/04/19,,3,112.05,0,5.6,0,5.6,,,
911,Zimt Chocolates,1578,2230,,,,,,06/26/19,,3,112.5,,,,,,,
911,Zimt Chocolates,1578,2230,Just Say Chocolate Hot Chocolate Mix - Zimt,Bag,1-0000176,1E+11,,06/26/19,37.5,3,112.5,,,,,,,
912,Black Sheep Vegan Cheeze,,,,,,,,01/05/19,,6,252,0,0,0,0,,,
912,Black Sheep Vegan Cheeze,824,369,,,,,,01/15/19,,6,252,,,,,,,
912,Black Sheep Vegan Cheeze,824,369,"Voursin, Black Sheep Vegan Cheeze",KG,1-0000922,1E+11,,01/15/19,42,1,42,,,,,,,
912,Black Sheep Vegan Cheeze,824,369,"Veta, Black Sheep Vegan Cheeze",KG,1-0000923,1E+11,,01/15/19,42,1,42,,,,,,,
912,Black Sheep Vegan Cheeze,824,369,"Smoked Vouda, Black Sheep Vegan Cheeze",KG,1-0000924,1E+11,,01/15/19,42,2,84,,,,,,,
912,Black Sheep Vegan Cheeze,824,369,"Vozzarella, Black Sheep Vegan Cheeze",KG,1-0000961,1E+11,,01/15/19,42,2,84,,,,,,,
913,Hives for Humanity,,,,,,,,01/05/19,,1,235,0,0,0,0,,,
913,Hives for Humanity,801,1123,,,,,,01/11/19,,1,235,,,,,,,
913,Hives for Humanity,801,1123,Local Honey - Hives for Humanity,Container,1-0000063,1E+11,,01/11/19,235,1,235,,,,,,,
914,Artisan Bake Shoppe,,,,,,,,01/05/19,,100,86.04,0,0,0,0,,,
914,Artisan Bake Shoppe,843,NADA 010619,,,,,,01/22/19,,100,86.04,,,,,,,
914,Artisan Bake Shoppe,843,NADA 010619,Multigrain- Artisan Bake Shoppe,Unit,1-0000766,1E+11,,01/22/19,3.36,5,16.8,,,,,,,
914,Artisan Bake Shoppe,843,NADA 010619,German Rye - Artisan Bake Shoppe,Unit,1-0000730,1E+11,,01/22/19,2.92,5,14.6,,,,,,,
914,Artisan Bake Shoppe,843,NADA 010619,Cheesebuns - Artisan Bake Shoppe,Unit,1-0000125,1E+11,,01/22/19,0.6,20,12,,,,,,,
914,Artisan Bake Shoppe,843,NADA 010619,French Rolls - Artisan Bake Shoppe,Unit,1-0000121,1E+11,,01/22/19,0.392,20,7.84,,,,,,,
914,Artisan Bake Shoppe,843,NADA 010619,Spelt Chocolate Chunk Cookie - Artisan Bake Shoppe,Unit,1-0000560,1E+11,,01/22/19,0.696,50,34.8,,,,,,,
915,Squamish Water Kefir,,,,,,,,01/05/19,,2,190,0,0,0,0,,,
915,Squamish Water Kefir,819,251,,,,,,01/15/19,,2,190,,,,,,,
915,Squamish Water Kefir,819,251,Lemon Ginger Water Kefir - Squamish Water Kefir,,1-0000809,1E+11,,01/15/19,95,1,95,,,,,,,
915,Squamish Water Kefir,819,251,Mint Water Kefir - Squamish Water Kefir,,1-0000808,1E+11,,01/15/19,95,1,95,,,,,,,
916,Jiva Organics,,,,,,,,01/05/19,,4,300,0,0,0,0,,,
916,Jiva Organics,804,125474,,,,,,01/11/19,,4,300,,,,,,,
916,Jiva Organics,804,125474,"Peanut Butter, Smooth Unsalted Organic",Container,1-0000415,1E+11,NEW-40205,01/11/19,75,2,150,,,,,,,
916,Jiva Organics,804,125474,"Peanut Butter, Crunchy Salted Organic",Container,1-0000414,1E+11,NEW-40208,01/11/19,75,2,150,,,,,,,
917,Cowichan Pasta Company,,,,,,,,01/05/19,,30,352,0,0,0,0,,,
919,Artisan Bake Shoppe,,,,,,,,01/06/19,,30,43.84,0,0,0,0,,,
919,Artisan Bake Shoppe,846,NADA 010719,,,,,,01/22/19,,30,43.84,,,,,,,
919,Artisan Bake Shoppe,846,NADA 010719,Multigrain- Artisan Bake Shoppe,Unit,1-0000766,1E+11,,01/22/19,3.36,6,20.16,,,,,,,
919,Artisan Bake Shoppe,846,NADA 010719,German Rye - Artisan Bake Shoppe,Unit,1-0000730,1E+11,,01/22/19,2.92,4,11.68,,,,,,,
919,Artisan Bake Shoppe,846,NADA 010719,Cheesebuns - Artisan Bake Shoppe,Unit,1-0000125,1E+11,,01/22/19,0.6,20,12,,,,,,,
920,Plenty + Spare,,,,,,,,01/06/19,,62.5,672.5,0,0,0,0,,,
920,Plenty + Spare,823,356,,,,,,01/15/19,,22.5,382.5,,,,,,,
920,Plenty + Spare,823,356,"Bar Soap, Ends - Plenty + Spare",Case,1-0000108,1E+11,,01/15/19,100,2,200,,,,,,,
920,Plenty + Spare,823,356,Matcha Clay Detox Mask - Plenty & Spare,Jar,1-0000479,1E+11,,01/15/19,75,0.5,37.5,,,,,,,
920,Plenty + Spare,823,356,OLD Mint Lip Balm - Plenty + Spare,Case,1-0000376,1E+11,,01/15/19,7.25,20,145,,,,,,,
921,Oneka Elements,,,,,,,,01/06/19,,6,837.47,0,41.87,0,41.87,,,
922,Orazio's Olive Oil,,,,,,,,01/06/19,,2,490,0,0,0,0,,,
922,Orazio's Olive Oil,807,730,,,,,,01/11/19,,2,490,,,,,,,
922,Orazio's Olive Oil,807,730,"Olive Oil, Organic Extra Virgin - Orazio's",Container,1-0000401,1E+11,,01/11/19,245,2,490,,,,,,,
923,KAPOW NOW!,,,,,,,,01/06/19,,3,420,0,0,0,0,,,
923,KAPOW NOW!,825,1013,,,,,,01/15/19,,3,420,,,,,,,
923,KAPOW NOW!,825,1013,"Crackers, Nocheeze Original - KAPOW NOW!",Bag,1-0000290,1E+11,KAP-NO-5KG-ORIG,01/15/19,140,1,140,,,,,,,
923,KAPOW NOW!,825,1013,"Crackers, Nocheeze Rosemary - KAPOW NOW!",Bag,1-0000770,1E+11,,01/15/19,140,1,140,,,,,,,
923,KAPOW NOW!,825,1013,"Crackers, Nocheeze Smoked Paprika - KAPOW NOW!",Bag,1-0000771,1E+11,,01/15/19,140,1,140,,,,,,,
924,Left Coast Naturals,,,,,,,,01/07/19,,10,1079.49,0,20.44,0,20.44,,,
924,Left Coast Naturals,805,10167362,,,,,,01/11/19,,9,911.19,,,,,,,
924,Left Coast Naturals,805,10167362,"Garbanzo Beans, Organic",Bag,1-0000204,1E+11,2012,01/11/19,59.5,1,59.5,,,,,,,
