ID,Vendor name,Address line 1,Address used for distance calculation (Google Maps),City,Country,State,Zip code,Distance to Nada (1 Way) (km),Distance to Nada 2 ways (km)
145,Blue Heron Creamery,2410 Main St.,"2410 Main St, Vancouver, BC V5T 3H9, Canada",Vancouver,BC,,,1,2
146,UNFI,12757 Vulcan Way #153,"12757 Vulcan Way, Richmond, BC V6V 1Z5, Canada","Richmond, BC",Canada,BC,V6V 2Z6,9.5,19
147,Evergrow Christmas Trees,,"Evergrow Christmas Trees, 1166 Main St, Vancouver, BC V6A 4B6, Canada",,USA,,,2,4
148,Juniperseed Mercantile,,"Juniperseed Mercantile, 28 E Arapahoe Rd, Littleton, CO 80122",,USA,,,2334,4668
149,Say Hello Sweets,,"620 Quebec St, Vancouver, BC V6A 4E7, Canada",,USA,,,2.7,5.4
150,Albatross Designs,PO Box 2254,"Poets Corner, Berkeley, CA 94702",Berkeley,USA,CA,94702,1509,3018
151,Three Bluebirds,32 Sound Beach Ave,32 Sound Beach Ave,Old Greenwich,USA,CT,6870,4863,9726
152,No Tox Life,3351 Fletcher Drive,"3351 Fletcher Dr, Los Angeles, CA 90065",Los Angeles,USA,CA,90065,2049,4098
153,Ecobags,23-25 Spring Street Suite 302,23-25 Spring,Ossining,USA,NY,10562,4844,9688
154,ECOlunchbox,PO Box 1602,"Lafayette, CA",Lafayette,USA,CA,94549,1505,3010
155,Kula Cloth,,"Mill Creek, Washington",,USA,,,197,394
156,Ecojarz,7 Union St,"7 Union St, Freeville, NY 13068",Freeville,USA,NY,13068,4637,9274
157,Bambu,,"Portland, OR",,USA,,,516,1032
158,Okanagan Rawsome,Box 25,"OKANAGAN RAWSOME, 92 Stroulger Rd, Grindrod, BC V0E 1Y0, Canada",Grindrod,Canada,BC,V0E 1Y0,476,952
159,Berry Brook Organic Farm,2130 Mt. Lehman Rd,"2130 Mount Lehman Rd, Abbotsford, BC V4X 2L6, Canada",Abbotsford,Canada,BC,V4X 2L6,62.9,125.8
160,Salty Cabbage,,"Salty Cabbage Kimchi, 1507 Powell St #150, Vancouver, BC V5L 5C3, Canada",Vancouver,Canada,,,3.7,7.4
161,Bremner Foods,7237 Wilson Ave,"7237 Wilson Ave, Delta, BC V4G 1E5, Canada",Delta,Canada,BC,V4G 1E5,25.7,51.4
162,BC Eco Seed Co-Op,,"Aldergrove, Langley Twp, BC, Canada",Vancouver,Canada,BC,,58.1,116.2
163,Parallel 49 Brewing,1950 Triumph St,"1950 Triumph St, Vancouver, BC V5K 1T8, Canada",Vancouver,Canada,BC,V5L 1K5,4.5,9
164,Coastie Craft,,"Coastie Craft Burgers, 401 Industrial Ave, Vancouver, BC V6A 2P8, Canada",,USA,,,1.9,3.8
165,Sotavento,not in 2019 data,,,USA,,,,0
198,Guppyfriend,not in 2019 data,,,USA,,,,0
231,Green Can LLC,,"Green Can, LLC, 109 Commerce St, Glastonbury, CT 06033",,USA,,,4977,9954
264,Kraut Source,,"1201 Pacific Ave, San Francisco, CA 94109",,USA,,,1525,3050
265,Raw Elements,,"5445 Oceanus Dr #108, Huntington Beach, CA 92649",,USA,,,2101,4202
297,Factory Direct Vinegar,not in 2019 data,,,USA,,,,0
330,Mason Bottle,not in 2019 data,,,USA,,,,0
,Amano Foods,"Amano Foods (1969) Ltd, 5520 No 6 Rd, Richmond, BC V6V 1Z1, Canada",,,,,,11.7,23.4
,Avalon,,"7985 N Fraser Way, Burnaby, BC V5J 0A4, Canada",,,,,13.4,26.8
,Anita's Organic,,"Anita's Organic Mill Store, 7697 Lickman Rd, Chilliwack, BC V2R 4A7, Canada",,,,,94.6,189.2
,Prairie Harvest,,"12538 126 St NW, Edmonton, AB T5L 0X3, Canada",,,,,1151,2302
,Cowichan Pasta Company,,"Duncan, British Columbia V9L 6W3, Canada",,,,,98.6,197.2
,Live for Tomorrow,,"Port Coquitlam, British Columbia V3E 3G7, Canada",,,,,30.7,61.4
